S1,P1,R1,process
4.071154199760749,8.483410593167484,0.7108638703917006,1
6.098375336228343,9.697444619844616,0.8149095326810034,0
4.410896024482937,8.102878106859713,0.8442247360776667,1
6.512914227483268,9.92587689417033,0.8307062034375653,0
3.0245971958569102,7.091054937891045,0.7558849684639276,1
3.692330664406508,7.475183961376799,0.8303604989724573,0
4.3886662260775795,8.090218006221757,0.8426009940519672,1
2.910968610419476,7.423492304932241,0.6637902377567539,0
3.4266024615806154,7.589803364527116,0.7475023076759297,1
4.539453724462518,8.694538671336545,0.7546062020680392,0
2.750439738161283,6.925588091991893,0.7206073417411496,1
2.564999772452665,6.4487927731783,0.7750689732850371,0
4.895479683456572,8.496529066649444,0.8521617205837935,1
4.478504443672264,8.059189874721646,0.8664831022538599,0
3.7573990171771245,7.679058558314244,0.8007210074154645,1
9.249037313227257,12.04058160726116,0.8016992262278083,0
4.670322820926551,8.004310213121984,0.9160284061881389,1
6.714319959096673,9.968850415751062,0.8490274627052226,0
2.651664715519126,6.893843251924553,0.701141486110382,1
3.0580926992142885,6.942142214049143,0.7973949805402786,0
3.3817390728168926,7.1953160594325825,0.8208243069145952,1
2.4573842431699133,7.001069852919009,0.6300196739393399,0
3.357365009803049,7.163459651786792,0.8221721959675358,1
4.733623315514889,8.64854683691708,0.7952749004850925,0
4.871849923595215,8.249515599864857,0.8995946609167114,1
4.1682636689397405,8.978890691305384,0.6497101896631268,0
3.3196884383920544,7.053484916426279,0.8384935110409638,1
4.356766008927047,8.725428491531833,0.7191186836014668,0
5.030673502772646,8.831440122305052,0.8105371751993016,1
2.117894344222906,6.102976676999569,0.7145468912020608,0
2.9944139647532753,7.069397731148117,0.752933934600106,1
1.2324278738670966,4.580899250432315,0.7380229985780445,0
2.839623735906237,6.761293621874318,0.7805685856852694,1
5.498222131429524,9.246184875443904,0.808177955323416,0
2.8101171889943046,6.725336591999167,0.7807396678977998,1
6.517313119762533,9.993318493228884,0.8200852356317474,0
3.6610591729521866,7.844233969109456,0.7476796057668395,1
3.9658308555611006,8.18571420630661,0.7437567084525518,0
3.107369726451052,7.828268122672302,0.6371936074831749,1
1.8168059849814844,5.054045338926925,0.8937995851414303,0
3.1218843345535205,7.0553863748104115,0.7881067884752383,1
2.745158487098024,6.407370479195407,0.8402675942295293,0
3.0643947493421586,7.337853157196055,0.7151819424410484,1
2.4846856149537055,7.081103300810447,0.6227008372180562,0
2.330289262477433,6.529664223020461,0.686812198497053,1
4.808676638087196,9.649409418020802,0.6489839710322652,0
3.8141645919463856,8.107754414292867,0.7291352983489359,1
4.716833141282351,8.697602820118698,0.7835401118187375,0
3.192212339034694,7.061567980898711,0.8044505394385717,1
1.5275481236488049,5.245393244461076,0.6976677691801276,0
3.023547886524958,7.4740249426282315,0.6801702456232438,1
5.731010365091087,10.341728793239598,0.6733715587270808,0
3.148424399478368,6.871849806793017,0.8378298239105822,1
2.992334481102108,7.196189848737374,0.7261306628967344,0
2.78925891718496,6.975635316419908,0.7203294297711704,1
2.8181666770507716,6.829551609229507,0.759262860707017,0
2.8308638244602706,6.899049425164453,0.7473952443215157,1
4.788106818611697,8.883857151663305,0.7623783614639369,0
3.9698034878741657,7.623628954689677,0.8583321329635681,1
5.574230533372388,9.430355268429993,0.7876598013217139,0
2.1782369761960503,6.507815479566538,0.6463154367941796,1
1.0998236105672679,4.374705717128716,0.7221629695974852,0
2.3434741464287256,6.264207732888043,0.7504775896034964,1
0.8122355636207053,4.057256708533214,0.620050255913636,0
4.030800186321173,7.76805741869296,0.8394141384567786,1
3.4487730383017237,7.139943005348347,0.8501293079520204,0
4.041142926769037,8.137739246628314,0.7668431369258483,1
4.550187854960706,8.57104192246354,0.7783446637891263,0
2.0250027689140158,5.830759390072883,0.7484886940529704,1
3.0434497751292917,8.143647317817045,0.5766842480025274,0
2.6327408318030683,7.487549477163024,0.5901175935151475,1
3.3108021082055266,7.1409483464588535,0.8158894243588907,0
2.1969182794909115,6.545243912435577,0.644424577652892,1
2.1807702544570002,6.154464194399908,0.7235012404339134,0
3.818112659729574,7.472066081289713,0.8593640756972115,1
6.02022036696011,10.318802098685298,0.7104993517810991,0
3.6699690660902875,7.5386017620446335,0.8115039990188196,1
4.800242192002617,8.431853254087965,0.8484513299046375,0
2.838805620313903,6.568218974127092,0.8268948256340017,1
2.951915562396044,6.818676495696905,0.7978359877093595,0
3.6241214682239216,7.768725511113958,0.7545934921147172,1
2.764791098026774,6.736178450643887,0.7656759729908916,0
